,,Date,Open,Close,High,Low,Volume,Money,Factor,Adj Close
600519.XSHG,2663,2018-08-22,615.84,612.81,617.86,608.5,2252736.0,1381418422.0,6.860743,612.81
600519.XSHG,2664,2018-08-23,616.48,615.12,622.72,610.5,2980759.0,1836880236.0,6.860743,615.12
600519.XSHG,2665,2018-08-24,614.01,606.02,614.01,602.5,2842710.0,1725516320.0,6.860743,606.02
600519.XSHG,2666,2018-08-27,607.58,630.8,630.8,607.58,5231767.0,3261483990.0,6.860743,630.8
600519.XSHG,2667,2018-08-28,636.03,625.02,636.75,622.77,3539885.0,2222697903.0,6.860743,625.02
600519.XSHG,2668,2018-08-29,625.94,629.47,632.25,623.27,2985854.0,1877474370.0,6.860743,629.47
600519.XSHG,2669,2018-08-30,631.64,624.47,635.67,623.19,3681466.0,2312993223.0,6.860743,624.47
600519.XSHG,2670,2018-08-31,620.66,605.0,621.35,602.53,6426370.0,3911486180.0,6.860743,605.0
600519.XSHG,2671,2018-09-03,598.4,611.44,612.78,597.3,3288297.0,1992654934.0,6.860743,611.44
600519.XSHG,2672,2018-09-04,611.99,619.55,620.43,607.21,2346981.0,1441658194.0,6.860743,619.55
600519.XSHG,2673,2018-09-05,619.51,603.72,621.34,602.99,3157939.0,1927600143.0,6.860743,603.72
600519.XSHG,2674,2018-09-06,598.4,591.06,605.07,587.39,4616560.0,2744204071.0,6.860743,591.06
600519.XSHG,2675,2018-09-07,592.44,597.46,603.94,592.11,3185902.0,1903829724.0,6.860743,597.46
600519.XSHG,2676,2018-09-10,598.59,591.79,600.06,588.03,2310123.0,1369296442.0,6.860743,591.79
600519.XSHG,2677,2018-09-11,592.5,592.9,597.46,587.97,2124315.0,1258466309.0,6.860743,592.9
600519.XSHG,2678,2018-09-12,590.14,578.21,591.86,576.38,4484373.0,2612360007.0,6.860743,578.21
600519.XSHG,2679,2018-09-13,585.55,580.03,589.22,569.03,5198670.0,3004019091.0,6.860743,580.03
600519.XSHG,2680,2018-09-14,581.86,590.05,596.37,576.86,4456351.0,2617626839.0,6.860743,590.05
600519.XSHG,2681,2018-09-17,591.98,592.72,599.28,588.36,3172052.0,1884188491.0,6.860743,592.72
600519.XSHG,2682,2018-09-18,590.14,611.89,613.09,589.43,4124958.0,2480477388.0,6.860743,611.89
600519.XSHG,2683,2018-09-19,611.78,625.4,629.61,611.25,5254095.0,3277470608.0,6.860743,625.4
600519.XSHG,2684,2018-09-20,628.87,622.77,630.43,621.68,2998433.0,1878075359.0,6.860743,622.77
600519.XSHG,2685,2018-09-21,625.94,642.47,642.47,624.11,4643431.0,2945196257.0,6.860743,642.47
600519.XSHG,2686,2018-09-25,637.87,639.72,647.75,636.27,3338425.0,2142679110.0,6.860743,639.72
600519.XSHG,2687,2018-09-26,644.38,665.34,672.45,644.28,7876240.0,5200777033.0,6.860743,665.34
600519.XSHG,2688,2018-09-27,667.7,664.48,668.16,656.59,4413677.0,2918965007.0,6.860743,664.48
600519.XSHG,2689,2018-09-28,666.96,669.99,672.93,659.78,3823270.0,2551115844.0,6.860743,669.99
600519.XSHG,2690,2018-10-08,656.6,629.75,659.89,629.75,9015628.0,5798721501.0,6.860743,629.75
600519.XSHG,2691,2018-10-09,630.43,637.87,641.27,629.52,4382548.0,2785526957.0,6.860743,637.87
600519.XSHG,2692,2018-10-10,639.94,615.77,640.62,614.64,6874974.0,4288785948.0,6.860743,615.77
600519.XSHG,2693,2018-10-11,582.81,591.97,613.95,582.81,9978472.0,5953169079.0,6.860743,591.97
600519.XSHG,2694,2018-10-12,597.48,613.09,617.38,597.1,5935153.0,3599837217.0,6.860743,613.09
600519.XSHG,2695,2018-10-15,614.45,612.08,616.71,605.77,3879655.0,2372056680.0,6.860743,612.08
600519.XSHG,2696,2018-10-16,611.23,612.3,623.67,607.59,2875761.0,1766613793.0,6.860743,612.3
600519.XSHG,2697,2018-10-17,619.51,610.99,621.62,596.48,4693537.0,2846537063.0,6.860743,610.99
600519.XSHG,2698,2018-10-18,605.74,592.84,605.74,591.95,5682755.0,3394332712.0,6.860743,592.84
600519.XSHG,2699,2018-10-19,585.55,614.92,619.51,582.87,8302436.0,4973381203.0,6.860743,614.92
600519.XSHG,2700,2018-10-22,619.51,636.03,644.31,619.51,7965672.0,5036971569.0,6.860743,636.03
600519.XSHG,2701,2018-10-23,632.36,588.99,632.36,582.8,13413962.0,8076618589.0,6.860743,588.99
600519.XSHG,2702,2018-10-24,576.48,584.63,596.57,569.03,8293005.0,4818473584.0,6.860743,584.63
600519.XSHG,2703,2018-10-25,569.03,568.12,571.33,558.55,8233684.0,4657019123.0,6.860743,568.12
600519.XSHG,2704,2018-10-26,568.12,559.95,573.62,558.0,6028291.0,3388947805.0,6.860743,559.95
600519.XSHG,2705,2018-10-29,503.95,503.95,503.95,503.95,5347161.0,2694714084.0,6.860743,503.95
600519.XSHG,2706,2018-10-30,468.08,480.92,498.36,467.18,22270395.0,10663392394.0,6.860743,480.92
